2025-07-12 03:36:03,307 - INFO - >> Received scrape/start request
2025-07-12 03:36:03,310 - INFO - >> Scraper scheduled
2025-07-12 03:36:03,320 - INFO -  run_scraper() called
2025-07-12 03:36:03,322 - INFO -  Starting Telegram Scraper
2025-07-12 03:36:03,327 - INFO - Connecting to 149.154.167.92:443/TcpFull...
2025-07-12 03:36:03,571 - INFO - Connection to 149.154.167.92:443/TcpFull complete!
2025-07-12 03:36:04,801 - INFO -  Scraping lobelia4cosmetics...
2025-07-12 03:43:26,814 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:43:28,417 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:43:30,126 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:43:33,558 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:43:43,257 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:43:45,383 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:43:49,424 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:43:51,647 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:43:52,877 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:44:08,796 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:44:16,005 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:44:19,158 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:44:26,383 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:44:29,204 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:44:32,073 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:44:36,939 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:44:43,369 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:44:50,090 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:44:51,852 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:45:00,936 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:45:08,046 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:45:17,312 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:45:19,444 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:45:24,212 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:45:29,352 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:45:31,060 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:45:32,698 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:45:36,131 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:45:45,257 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
