image_path,message_id,detected_object_class,confidence_score
data/raw/telegram_media/2025-07-12/tikvahpharma/171902.jpg,171902,book,0.4712044596672058
data/raw/telegram_media/2025-07-12/tikvahpharma/172252.jpg,172252,bottle,0.45181962847709656
data/raw/telegram_media/2025-07-12/tikvahpharma/172252.jpg,172252,bottle,0.3532828390598297
data/raw/telegram_media/2025-07-12/tikvahpharma/172252.jpg,172252,bottle,0.35197681188583374
data/raw/telegram_media/2025-07-12/tikvahpharma/172252.jpg,172252,dining table,0.2972012758255005
data/raw/telegram_media/2025-07-12/tikvahpharma/172057.jpg,172057,vase,0.5313839316368103
data/raw/telegram_media/2025-07-12/tikvahpharma/172057.jpg,172057,vase,0.3181104063987732
data/raw/telegram_media/2025-07-12/tikvahpharma/172057.jpg,172057,vase,0.31754299998283386
data/raw/telegram_media/2025-07-12/tikvahpharma/171871.jpg,171871,chair,0.392775297164917
data/raw/telegram_media/2025-07-12/tikvahpharma/171871.jpg,171871,bottle,0.3874397277832031
data/raw/telegram_media/2025-07-12/tikvahpharma/171871.jpg,171871,bottle,0.3772139847278595
data/raw/telegram_media/2025-07-12/tikvahpharma/171871.jpg,171871,bottle,0.3717687427997589
data/raw/telegram_media/2025-07-12/tikvahpharma/171871.jpg,171871,bottle,0.2755787968635559
data/raw/telegram_media/2025-07-12/tikvahpharma/171871.jpg,171871,bottle,0.2736976146697998
data/raw/telegram_media/2025-07-12/tikvahpharma/171871.jpg,171871,dining table,0.2559363543987274
data/raw/telegram_media/2025-07-12/tikvahpharma/172071.jpg,172071,person,0.25103873014450073
data/raw/telegram_media/2025-07-12/tikvahpharma/172113.jpg,172113,cell phone,0.5616076588630676
data/raw/telegram_media/2025-07-12/tikvahpharma/171938.jpg,171938,bottle,0.6058730483055115
data/raw/telegram_media/2025-07-12/tikvahpharma/171938.jpg,171938,tv,0.4245885908603668
data/raw/telegram_media/2025-07-12/tikvahpharma/171938.jpg,171938,bottle,0.298277348279953
data/raw/telegram_media/2025-07-12/tikvahpharma/172038.jpg,172038,tv,0.6206777691841125
data/raw/telegram_media/2025-07-12/tikvahpharma/171913.jpg,171913,bottle,0.6058730483055115
data/raw/telegram_media/2025-07-12/tikvahpharma/171913.jpg,171913,tv,0.4245885908603668
data/raw/telegram_media/2025-07-12/tikvahpharma/171913.jpg,171913,bottle,0.298277348279953
data/raw/telegram_media/2025-07-12/tikvahpharma/171790.jpg,171790,kite,0.5676157474517822
data/raw/telegram_media/2025-07-12/tikvahpharma/171822.jpg,171822,laptop,0.7536235451698303
data/raw/telegram_media/2025-07-12/tikvahpharma/172028.jpg,172028,person,0.8552930951118469
data/raw/telegram_media/2025-07-12/tikvahpharma/172028.jpg,172028,person,0.8328914642333984
data/raw/telegram_media/2025-07-12/tikvahpharma/172028.jpg,172028,person,0.7833090424537659
data/raw/telegram_media/2025-07-12/tikvahpharma/172028.jpg,172028,person,0.7595619559288025
data/raw/telegram_media/2025-07-12/tikvahpharma/172028.jpg,172028,tv,0.7151287794113159
data/raw/telegram_media/2025-07-12/tikvahpharma/172028.jpg,172028,person,0.6602351665496826
data/raw/telegram_media/2025-07-12/tikvahpharma/172028.jpg,172028,person,0.5848743915557861
data/raw/telegram_media/2025-07-12/tikvahpharma/172028.jpg,172028,person,0.5611496567726135
data/raw/telegram_media/2025-07-12/tikvahpharma/172028.jpg,172028,person,0.5555281043052673
data/raw/telegram_media/2025-07-12/tikvahpharma/172028.jpg,172028,person,0.4454452097415924
